No.,Time,Source,Destination,Protocol,Length,Info;
1,0.000000,103.12.198.162,39.62.1.38,UDP,1274,443  >  45841 Len=1232;
2,-0.005975,39.62.1.38,142.250.181.54,TCP,78,2655  >  443 [ACK] Seq=1 Ack=1 Win=3708 Len=0 TSval=4294944518 TSecr=1992606552 SLE=2801 SRE=3338;
3,-0.005898,39.62.1.38,103.12.198.146,TCP,66,44538  >  443 [ACK] Seq=1 Ack=1 Win=1736 Len=0 TSval=451468263 TSecr=439484563;
4,-0.005898,39.62.1.38,103.12.198.146,TCP,66,44540  >  443 [ACK] Seq=1 Ack=1 Win=1734 Len=0 TSval=451468261 TSecr=1510013259;
5,-0.005889,39.62.1.38,103.12.198.146,TCP,66,44540  >  443 [ACK] Seq=1 Ack=2761 Win=1736 Len=0 TSval=451468277 TSecr=1510013267;
6,-0.005888,39.62.1.38,103.12.198.146,TCP,66,44538  >  443 [ACK] Seq=1 Ack=2761 Win=1736 Len=0 TSval=451468282 TSecr=439484575;
7,-0.005881,39.62.1.38,103.12.198.146,TCP,66,44538  >  443 [ACK] Seq=1 Ack=6901 Win=1736 Len=0 TSval=451468305 TSecr=439484586;
8,-0.005881,39.62.1.38,103.12.198.146,TCP,66,44540  >  443 [ACK] Seq=1 Ack=6901 Win=1736 Len=0 TSval=451468283 TSecr=1510013275;
9,-0.005875,39.62.1.38,103.12.198.146,TCP,66,44540  >  443 [ACK] Seq=1 Ack=13801 Win=1730 Len=0 TSval=451468306 TSecr=1510013282;
10,-0.005870,39.62.1.38,103.12.198.146,TCP,66,44540  >  443 [ACK] Seq=1 Ack=16561 Win=1730 Len=0 TSval=451468311 TSecr=1510013306;